"","First","Second","p","weight"
"BMIxANTI_ESTROGENS","BMI","ANTI_ESTROGENS",0.5697,851.833333333333
"BMIxCEREBACC","BMI","CEREBACC",0.6444,1909
"BMIxCHF","BMI","CHF",0.3646,2585.33333333333
"BMIxDVT","BMI","DVT",0.7738,1676.66666666667
"BMIxDIAB","BMI","DIAB",0.5977,1926.33333333333
"BMIxMI","BMI","MI",0.1887,1561.33333333333
"BMIxPULMEMB","BMI","PULMEMB",0.2729,1819.83333333333
"BMIxSPINCOMP","BMI","SPINCOMP",0.6286,557.5
"BMIxCOPD","BMI","COPD",0.8129,1105.16666666667
"BMIxMHBLOOD","BMI","MHBLOOD",0.7645,538.166666666667
"BMIxMHCARD","BMI","MHCARD",0.2745,2046.66666666667
"BMIxMHCONGEN","BMI","MHCONGEN",0.5761,1318.33333333333
"BMIxMHEAR","BMI","MHEAR",0.6572,1633.33333333333
"BMIxMHENDO","BMI","MHENDO",0.4932,2000.66666666667
"BMIxMHGASTRO","BMI","MHGASTRO",0.7099,503.5
"BMIxMHHEPATO","BMI","MHHEPATO",0.7636,1130.16666666667
"BMIxMHIMMUNE","BMI","MHIMMUNE",0.869,816.333333333333
"BMIxMHINFECT","BMI","MHINFECT",0.7057,1476.33333333333
"BMIxMHINJURY","BMI","MHINJURY",0.7372,1911
"BMIxMHINVEST","BMI","MHINVEST",0.6691,1180.66666666667
"BMIxMHMETAB","BMI","MHMETAB",0.7078,741.166666666667
"BMIxMHPSYCH","BMI","MHPSYCH",0.2513,1871.66666666667
"BMIxMHRENAL","BMI","MHRENAL",0.7119,1075.83333333333
"BMIxMHRESP","BMI","MHRESP",0.5672,1475
"BMIxMHSKIN","BMI","MHSKIN",0.747,790.333333333333
"BMIxMHVASC","BMI","MHVASC",0.1362,2471.66666666667
"BMIxECOG_C","BMI","ECOG_C",0.0038,3119.33333333333
"BMIxRaceAsian","BMI","RaceAsian",0.5781,856.833333333333
"BMIxRaceBlack","BMI","RaceBlack",0.6744,991
"BMIxRaceOther","BMI","RaceOther",0.5562,1303.83333333333
"BMIxRaceWhite","BMI","RaceWhite",0.7854,1367.5
"BMIxRegionAsia","BMI","RegionAsia",1,445.166666666667
"BMIxRegionEastEuro","BMI","RegionEastEuro",0.0991,2490.33333333333
"BMIxRegionNorthAmer","BMI","RegionNorthAmer",0.4941,2042.33333333333
"BMIxRegionSouthAmer","BMI","RegionSouthAmer",0.6267,834
"BMIxRegionWestEuro","BMI","RegionWestEuro",0.4202,1776.33333333333
"HEIGHTBLxTARGET","HEIGHTBL","TARGET",0.0131,2942
"HEIGHTBLxLYMPH_NODES","HEIGHTBL","LYMPH_NODES",0.2118,1799.66666666667
"HEIGHTBLxKIDNEYS","HEIGHTBL","KIDNEYS",0.5965,546.166666666667
"HEIGHTBLxLUNGS","HEIGHTBL","LUNGS",0.3457,1112.83333333333
"HEIGHTBLxLIVER","HEIGHTBL","LIVER",7e-04,3089.33333333333
"HEIGHTBLxPLEURA","HEIGHTBL","PLEURA",0.2507,1752
"HEIGHTBLxOTHER","HEIGHTBL","OTHER",0.6825,1014.33333333333
"HEIGHTBLxPROSTATE","HEIGHTBL","PROSTATE",0.7016,692.833333333333
"HEIGHTBLxORCHIDECTOMY","HEIGHTBL","ORCHIDECTOMY",0.6331,1318.5
"HEIGHTBLxPROSTATECTOMY","HEIGHTBL","PROSTATECTOMY",0.5792,1305.16666666667
"HEIGHTBLxLYMPHADENECTOMY","HEIGHTBL","LYMPHADENECTOMY",0.6468,551.833333333333
"HEIGHTBLxBILATERAL_ORCHIDECTOMY","HEIGHTBL","BILATERAL_ORCHIDECTOMY",0.5449,781.5
"HEIGHTBLxPRIOR_RADIOTHERAPY","HEIGHTBL","PRIOR_RADIOTHERAPY",0.6754,1107.5
"HEIGHTBLxANALGESICS","HEIGHTBL","ANALGESICS",2e-04,2415
"HEIGHTBLxANTI_ANDROGENS","HEIGHTBL","ANTI_ANDROGENS",0.6848,1188.33333333333
"HEIGHTBLxGLUCOCORTICOID","HEIGHTBL","GLUCOCORTICOID",0.7041,1207.66666666667
"HEIGHTBLxGONADOTROPIN","HEIGHTBL","GONADOTROPIN",0.5019,1641.16666666667
"HEIGHTBLxBISPHOSPHONATE","HEIGHTBL","BISPHOSPHONATE",0.6494,1562
"HEIGHTBLxCORTICOSTEROID","HEIGHTBL","CORTICOSTEROID",0.5239,1843
"HEIGHTBLxIMIDAZOLE","HEIGHTBL","IMIDAZOLE",0.5209,860.833333333333
"HEIGHTBLxACE_INHIBITORS","HEIGHTBL","ACE_INHIBITORS",0.1502,2080
"HEIGHTBLxBETA_BLOCKING","HEIGHTBL","BETA_BLOCKING",0.7285,497.833333333333
"HEIGHTBLxHMG_COA_REDUCT","HEIGHTBL","HMG_COA_REDUCT",0.7163,1553.33333333333
"HEIGHTBLxESTROGENS","HEIGHTBL","ESTROGENS",0.4481,2468
"HEIGHTBLxANTI_ESTROGENS","HEIGHTBL","ANTI_ESTROGENS",0.554,1217
"HEIGHTBLxCEREBACC","HEIGHTBL","CEREBACC",0.6336,1522.16666666667
"HEIGHTBLxCHF","HEIGHTBL","CHF",0.3996,2482.33333333333
"HEIGHTBLxDVT","HEIGHTBL","DVT",0.7454,1763.16666666667
"HEIGHTBLxDIAB","HEIGHTBL","DIAB",0.6018,894.5
"HEIGHTBLxMI","HEIGHTBL","MI",0.0655,2661.66666666667
"HEIGHTBLxPULMEMB","HEIGHTBL","PULMEMB",0.2302,1708.5
"HEIGHTBLxSPINCOMP","HEIGHTBL","SPINCOMP",0.6181,593.833333333333
"HEIGHTBLxCOPD","HEIGHTBL","COPD",0.7074,1470.66666666667
"HEIGHTBLxMHBLOOD","HEIGHTBL","MHBLOOD",0.6755,445.166666666667
"HEIGHTBLxMHCARD","HEIGHTBL","MHCARD",0.1043,2881.66666666667
"HEIGHTBLxMHCONGEN","HEIGHTBL","MHCONGEN",0.5736,1336.66666666667
"HEIGHTBLxMHEAR","HEIGHTBL","MHEAR",0.6634,1807.66666666667
"HEIGHTBLxMHENDO","HEIGHTBL","MHENDO",0.4764,1992.33333333333
"HEIGHTBLxMHGASTRO","HEIGHTBL","MHGASTRO",0.6709,445.166666666667
"HEIGHTBLxMHHEPATO","HEIGHTBL","MHHEPATO",0.7269,822.5
"HEIGHTBLxMHIMMUNE","HEIGHTBL","MHIMMUNE",0.848,1719.66666666667
"HEIGHTBLxMHINFECT","HEIGHTBL","MHINFECT",0.6149,1813
"HEIGHTBLxMHINJURY","HEIGHTBL","MHINJURY",0.7271,1287.83333333333
"HEIGHTBLxMHINVEST","HEIGHTBL","MHINVEST",0.7068,805.5
"HEIGHTBLxMHMETAB","HEIGHTBL","MHMETAB",0.6111,1186.83333333333
"HEIGHTBLxMHPSYCH","HEIGHTBL","MHPSYCH",0.148,2020.33333333333
"HEIGHTBLxMHRENAL","HEIGHTBL","MHRENAL",0.6518,912.666666666667
"HEIGHTBLxMHRESP","HEIGHTBL","MHRESP",0.4032,1668.66666666667
"HEIGHTBLxMHSKIN","HEIGHTBL","MHSKIN",0.726,685.166666666667
"HEIGHTBLxMHVASC","HEIGHTBL","MHVASC",0.2017,1617
"HEIGHTBLxECOG_C","HEIGHTBL","ECOG_C",2e-04,2789
"HEIGHTBLxRaceAsian","HEIGHTBL","RaceAsian",0.5841,1280.66666666667
"HEIGHTBLxRaceBlack","HEIGHTBL","RaceBlack",0.7016,732.833333333333
"HEIGHTBLxRaceOther","HEIGHTBL","RaceOther",0.517,1180.5
"HEIGHTBLxRaceWhite","HEIGHTBL","RaceWhite",0.526,1049.83333333333
"HEIGHTBLxRegionAsia","HEIGHTBL","RegionAsia",1,445.166666666667
"HEIGHTBLxRegionEastEuro","HEIGHTBL","RegionEastEuro",0.0535,2204.33333333333
"HEIGHTBLxRegionNorthAmer","HEIGHTBL","RegionNorthAmer",0.5041,1791.66666666667
"HEIGHTBLxRegionSouthAmer","HEIGHTBL","RegionSouthAmer",0.6449,813.833333333333
"HEIGHTBLxRegionWestEuro","HEIGHTBL","RegionWestEuro",0.5508,1045.16666666667
"WEIGHTBLxTARGET","WEIGHTBL","TARGET",0.0584,2769.33333333333
"WEIGHTBLxLYMPH_NODES","WEIGHTBL","LYMPH_NODES",0.3967,1409.83333333333
"WEIGHTBLxKIDNEYS","WEIGHTBL","KIDNEYS",0.5784,908.666666666667
"WEIGHTBLxLUNGS","WEIGHTBL","LUNGS",0.4509,988.833333333333
"WEIGHTBLxLIVER","WEIGHTBL","LIVER",0.003,2687.33333333333
"WEIGHTBLxPLEURA","WEIGHTBL","PLEURA",0.3118,1769
"WEIGHTBLxOTHER","WEIGHTBL","OTHER",0.647,812.833333333333
"WEIGHTBLxPROSTATE","WEIGHTBL","PROSTATE",0.6986,1052.66666666667
"WEIGHTBLxORCHIDECTOMY","WEIGHTBL","ORCHIDECTOMY",0.7372,1453.5
"WEIGHTBLxPROSTATECTOMY","WEIGHTBL","PROSTATECTOMY",0.5711,1590
"WEIGHTBLxLYMPHADENECTOMY","WEIGHTBL","LYMPHADENECTOMY",0.6571,1596
"WEIGHTBLxBILATERAL_ORCHIDECTOMY","WEIGHTBL","BILATERAL_ORCHIDECTOMY",0.6685,1032
"WEIGHTBLxPRIOR_RADIOTHERAPY","WEIGHTBL","PRIOR_RADIOTHERAPY",0.7258,1564.16666666667
"WEIGHTBLxANALGESICS","WEIGHTBL","ANALGESICS",4e-04,2406
"WEIGHTBLxANTI_ANDROGENS","WEIGHTBL","ANTI_ANDROGENS",0.4993,851.5
"WEIGHTBLxGLUCOCORTICOID","WEIGHTBL","GLUCOCORTICOID",0.5943,1083.83333333333
"WEIGHTBLxGONADOTROPIN","WEIGHTBL","GONADOTROPIN",0.1721,2065.16666666667
"WEIGHTBLxBISPHOSPHONATE","WEIGHTBL","BISPHOSPHONATE",0.4588,2605.33333333333
"WEIGHTBLxCORTICOSTEROID","WEIGHTBL","CORTICOSTEROID",0.5675,1921.66666666667
"WEIGHTBLxIMIDAZOLE","WEIGHTBL","IMIDAZOLE",0.5478,960.166666666667
"WEIGHTBLxACE_INHIBITORS","WEIGHTBL","ACE_INHIBITORS",0.1872,1855.66666666667
"WEIGHTBLxBETA_BLOCKING","WEIGHTBL","BETA_BLOCKING",0.7094,1204.16666666667
"WEIGHTBLxHMG_COA_REDUCT","WEIGHTBL","HMG_COA_REDUCT",0.7125,718.833333333333
"WEIGHTBLxESTROGENS","WEIGHTBL","ESTROGENS",0.3371,2573.66666666667
"WEIGHTBLxANTI_ESTROGENS","WEIGHTBL","ANTI_ESTROGENS",0.5658,874.833333333333
"WEIGHTBLxCEREBACC","WEIGHTBL","CEREBACC",0.6393,1504.16666666667
"WEIGHTBLxCHF","WEIGHTBL","CHF",0.403,2428.33333333333
"WEIGHTBLxDVT","WEIGHTBL","DVT",0.7886,1791.66666666667
"WEIGHTBLxDIAB","WEIGHTBL","DIAB",0.6304,1460.83333333333
"WEIGHTBLxMI","WEIGHTBL","MI",0.1752,1579
"WEIGHTBLxPULMEMB","WEIGHTBL","PULMEMB",0.3174,2027.33333333333
"WEIGHTBLxSPINCOMP","WEIGHTBL","SPINCOMP",0.6213,577.166666666667
"WEIGHTBLxCOPD","WEIGHTBL","COPD",0.8084,1181.16666666667
"WEIGHTBLxMHBLOOD","WEIGHTBL","MHBLOOD",0.7594,661.5
"WEIGHTBLxMHCARD","WEIGHTBL","MHCARD",0.2526,1882.66666666667
"WEIGHTBLxMHCONGEN","WEIGHTBL","MHCONGEN",0.5968,1436
"WEIGHTBLxMHEAR","WEIGHTBL","MHEAR",0.6383,1741
"WEIGHTBLxMHENDO","WEIGHTBL","MHENDO",0.4358,2119.33333333333
"WEIGHTBLxMHGASTRO","WEIGHTBL","MHGASTRO",0.7043,927
"WEIGHTBLxMHHEPATO","WEIGHTBL","MHHEPATO",0.7507,1510
"WEIGHTBLxMHIMMUNE","WEIGHTBL","MHIMMUNE",0.8546,978.833333333333
"WEIGHTBLxMHINFECT","WEIGHTBL","MHINFECT",0.7142,1650.33333333333
"WEIGHTBLxMHINJURY","WEIGHTBL","MHINJURY",0.7189,2307.66666666667
"WEIGHTBLxMHINVEST","WEIGHTBL","MHINVEST",0.673,1201.33333333333
"WEIGHTBLxMHMETAB","WEIGHTBL","MHMETAB",0.7272,1144.33333333333
"WEIGHTBLxMHPSYCH","WEIGHTBL","MHPSYCH",0.2654,1801.66666666667
"WEIGHTBLxMHRENAL","WEIGHTBL","MHRENAL",0.7275,1325.83333333333
"WEIGHTBLxMHRESP","WEIGHTBL","MHRESP",0.5631,1591.66666666667
"WEIGHTBLxMHSKIN","WEIGHTBL","MHSKIN",0.7433,795
"WEIGHTBLxMHVASC","WEIGHTBL","MHVASC",0.1635,2149
"WEIGHTBLxECOG_C","WEIGHTBL","ECOG_C",0.0033,3084.33333333333
"WEIGHTBLxRaceAsian","WEIGHTBL","RaceAsian",0.6412,668.166666666667
"WEIGHTBLxRaceBlack","WEIGHTBL","RaceBlack",0.6628,877.5
"WEIGHTBLxRaceOther","WEIGHTBL","RaceOther",0.5821,1208.16666666667
"WEIGHTBLxRaceWhite","WEIGHTBL","RaceWhite",0.7962,1134.83333333333
"WEIGHTBLxRegionAsia","WEIGHTBL","RegionAsia",1,445.166666666667
"WEIGHTBLxRegionEastEuro","WEIGHTBL","RegionEastEuro",0.1193,2385.33333333333
"WEIGHTBLxRegionNorthAmer","WEIGHTBL","RegionNorthAmer",0.5136,2014.33333333333
"WEIGHTBLxRegionSouthAmer","WEIGHTBL","RegionSouthAmer",0.6234,827
"WEIGHTBLxRegionWestEuro","WEIGHTBL","RegionWestEuro",0.4188,1661.83333333333
"ALPxTARGET","ALP","TARGET",0,3282.33333333333
"ALPxLYMPH_NODES","ALP","LYMPH_NODES",0.0108,2623
"ALPxKIDNEYS","ALP","KIDNEYS",0.5766,928.833333333333
"ALPxLUNGS","ALP","LUNGS",0.1631,2356.33333333333
"ALPxLIVER","ALP","LIVER",0,3186.66666666667
"ALPxPLEURA","ALP","PLEURA",0.1442,2708.33333333333
"ALPxOTHER","ALP","OTHER",0.6888,1218.16666666667
"ALPxPROSTATE","ALP","PROSTATE",0.5834,1843.33333333333
"ALPxORCHIDECTOMY","ALP","ORCHIDECTOMY",0.3155,1576.66666666667
"ALPxPROSTATECTOMY","ALP","PROSTATECTOMY",0.7045,855.5
"ALPxLYMPHADENECTOMY","ALP","LYMPHADENECTOMY",0.6186,2171.33333333333
"ALPxBILATERAL_ORCHIDECTOMY","ALP","BILATERAL_ORCHIDECTOMY",0.212,1745
"ALPxPRIOR_RADIOTHERAPY","ALP","PRIOR_RADIOTHERAPY",0.2112,2356
"ALPxANALGESICS","ALP","ANALGESICS",1e-04,2997
"ALPxANTI_ANDROGENS","ALP","ANTI_ANDROGENS",2e-04,3094
"ALPxGLUCOCORTICOID","ALP","GLUCOCORTICOID",0.7495,1437
"ALPxGONADOTROPIN","ALP","GONADOTROPIN",0.0895,2205.33333333333
"ALPxBISPHOSPHONATE","ALP","BISPHOSPHONATE",0.5412,939.166666666667
"ALPxCORTICOSTEROID","ALP","CORTICOSTEROID",0.2971,1812.5
"ALPxIMIDAZOLE","ALP","IMIDAZOLE",0.5913,1151
"ALPxACE_INHIBITORS","ALP","ACE_INHIBITORS",0.3166,2052.66666666667
"ALPxBETA_BLOCKING","ALP","BETA_BLOCKING",0.6833,1674.33333333333
"ALPxHMG_COA_REDUCT","ALP","HMG_COA_REDUCT",0.6928,1694.33333333333
"ALPxESTROGENS","ALP","ESTROGENS",0.6592,2530
"ALPxANTI_ESTROGENS","ALP","ANTI_ESTROGENS",0.4951,1779
"ALPxCEREBACC","ALP","CEREBACC",0.5582,2026
"ALPxCHF","ALP","CHF",0.3861,2559.33333333333
"ALPxDVT","ALP","DVT",0.7834,2525
"ALPxDIAB","ALP","DIAB",0.3832,1832.66666666667
"ALPxMI","ALP","MI",0.0355,2964.66666666667
"ALPxPULMEMB","ALP","PULMEMB",0.2006,1549.66666666667
"ALPxSPINCOMP","ALP","SPINCOMP",0.4959,1821.66666666667
"ALPxCOPD","ALP","COPD",0.6099,1805.66666666667
"ALPxMHBLOOD","ALP","MHBLOOD",0.5356,1091.66666666667
"ALPxMHCARD","ALP","MHCARD",0.032,3039
"ALPxMHCONGEN","ALP","MHCONGEN",0.5793,1065.66666666667
"ALPxMHEAR","ALP","MHEAR",0.6862,1717.66666666667
"ALPxMHENDO","ALP","MHENDO",0.5898,1934
"ALPxMHGASTRO","ALP","MHGASTRO",0.5155,1403.5
"ALPxMHHEPATO","ALP","MHHEPATO",0.6933,1097.83333333333
"ALPxMHIMMUNE","ALP","MHIMMUNE",0.8503,1805
"ALPxMHINFECT","ALP","MHINFECT",0.5523,1121.66666666667
"ALPxMHINJURY","ALP","MHINJURY",0.7077,1371.33333333333
"ALPxMHINVEST","ALP","MHINVEST",0.6979,2151.66666666667
"ALPxMHMETAB","ALP","MHMETAB",0.2257,1533.83333333333
"ALPxMHPSYCH","ALP","MHPSYCH",0.0702,2033.33333333333
"ALPxMHRENAL","ALP","MHRENAL",0.4315,1230.33333333333
"ALPxMHRESP","ALP","MHRESP",0.2287,2272
"ALPxMHSKIN","ALP","MHSKIN",0.7534,2049.33333333333
"ALPxMHVASC","ALP","MHVASC",0.7205,985
"ALPxECOG_C","ALP","ECOG_C",0,2847
"ALPxRaceAsian","ALP","RaceAsian",0.6934,1336
"ALPxRaceBlack","ALP","RaceBlack",0.7034,1486.66666666667
"ALPxRaceOther","ALP","RaceOther",0.5182,879.5
"ALPxRaceWhite","ALP","RaceWhite",0,2773
"ALPxRegionAsia","ALP","RegionAsia",1,445.166666666667
"ALPxRegionEastEuro","ALP","RegionEastEuro",0.0032,2408.66666666667
"ALPxRegionNorthAmer","ALP","RegionNorthAmer",0.6613,1345.83333333333
"ALPxRegionSouthAmer","ALP","RegionSouthAmer",0.5504,1886
"ALPxRegionWestEuro","ALP","RegionWestEuro",0.7516,1288.66666666667
"ALTxTARGET","ALT","TARGET",0.0092,3006.33333333333
"ALTxLYMPH_NODES","ALT","LYMPH_NODES",0.2192,1239.5
"ALTxKIDNEYS","ALT","KIDNEYS",0.5644,1244.16666666667
"ALTxLUNGS","ALT","LUNGS",0.3316,1364.66666666667
"ALTxLIVER","ALT","LIVER",2e-04,3258
"ALTxPLEURA","ALT","PLEURA",0.2845,1096.83333333333
"ALTxOTHER","ALT","OTHER",0.7317,750.5
"ALTxPROSTATE","ALT","PROSTATE",0.6763,1549
"ALTxORCHIDECTOMY","ALT","ORCHIDECTOMY",0.6169,646.833333333333
"ALTxPROSTATECTOMY","ALT","PROSTATECTOMY",0.5959,1521.83333333333
"ALTxLYMPHADENECTOMY","ALT","LYMPHADENECTOMY",0.6132,684.166666666667
"ALTxBILATERAL_ORCHIDECTOMY","ALT","BILATERAL_ORCHIDECTOMY",0.5465,1047.33333333333
"ALTxPRIOR_RADIOTHERAPY","ALT","PRIOR_RADIOTHERAPY",0.6211,1669.33333333333
"ALTxANALGESICS","ALT","ANALGESICS",4e-04,2903.33333333333
"ALTxANTI_ANDROGENS","ALT","ANTI_ANDROGENS",0.6839,1398.33333333333
"ALTxGLUCOCORTICOID","ALT","GLUCOCORTICOID",0.7276,1127.33333333333
"ALTxGONADOTROPIN","ALT","GONADOTROPIN",0.5042,2235.66666666667
"ALTxBISPHOSPHONATE","ALT","BISPHOSPHONATE",0.6923,1947
"ALTxCORTICOSTEROID","ALT","CORTICOSTEROID",0.5237,1842.66666666667
"ALTxIMIDAZOLE","ALT","IMIDAZOLE",0.4474,2134.33333333333
"ALTxACE_INHIBITORS","ALT","ACE_INHIBITORS",0.2017,2007.33333333333
"ALTxBETA_BLOCKING","ALT","BETA_BLOCKING",0.7262,1705.66666666667
"ALTxHMG_COA_REDUCT","ALT","HMG_COA_REDUCT",0.7082,1223.33333333333
"ALTxESTROGENS","ALT","ESTROGENS",0.5043,1687.5
"ALTxANTI_ESTROGENS","ALT","ANTI_ESTROGENS",0.5162,1818
"ALTxCEREBACC","ALT","CEREBACC",0.6876,1580.33333333333
"ALTxCHF","ALT","CHF",0.3372,2672.66666666667
"ALTxDVT","ALT","DVT",0.7484,1641.5
"ALTxDIAB","ALT","DIAB",0.6346,1563.33333333333
"ALTxMI","ALT","MI",0.0822,2597.66666666667
"ALTxPULMEMB","ALT","PULMEMB",0.2847,1749.5
"ALTxSPINCOMP","ALT","SPINCOMP",0.5214,1673.66666666667
"ALTxCOPD","ALT","COPD",0.6256,1895
"ALTxMHBLOOD","ALT","MHBLOOD",0.7107,1358.66666666667
"ALTxMHCARD","ALT","MHCARD",0.1303,2842.66666666667
"ALTxMHCONGEN","ALT","MHCONGEN",0.4968,572.833333333333
"ALTxMHEAR","ALT","MHEAR",0.6645,1710.33333333333
"ALTxMHENDO","ALT","MHENDO",0.4063,2337.66666666667
"ALTxMHGASTRO","ALT","MHGASTRO",0.6971,913.5
"ALTxMHHEPATO","ALT","MHHEPATO",0.7507,836.833333333333
"ALTxMHIMMUNE","ALT","MHIMMUNE",0.8469,1903
"ALTxMHINFECT","ALT","MHINFECT",0.6105,1146.33333333333
"ALTxMHINJURY","ALT","MHINJURY",0.6887,2222
"ALTxMHINVEST","ALT","MHINVEST",0.7199,1370.33333333333
"ALTxMHMETAB","ALT","MHMETAB",0.6439,2301.66666666667
"ALTxMHPSYCH","ALT","MHPSYCH",0.1573,1963.66666666667
"ALTxMHRENAL","ALT","MHRENAL",0.644,1330.16666666667
"ALTxMHRESP","ALT","MHRESP",0.5263,957
"ALTxMHSKIN","ALT","MHSKIN",0.7309,689.833333333333
"ALTxMHVASC","ALT","MHVASC",0.1571,2363.66666666667
"ALTxECOG_C","ALT","ECOG_C",7e-04,3160.66666666667
"ALTxRaceAsian","ALT","RaceAsian",0.5633,828.833333333333
"ALTxRaceBlack","ALT","RaceBlack",0.7235,1044
"ALTxRaceOther","ALT","RaceOther",0.4387,1614.66666666667
"ALTxRaceWhite","ALT","RaceWhite",0.5896,1159.83333333333
"ALTxRegionAsia","ALT","RegionAsia",1,445.166666666667
"ALTxRegionEastEuro","ALT","RegionEastEuro",0.0727,2320.66666666667
"ALTxRegionNorthAmer","ALT","RegionNorthAmer",0.3611,2489.33333333333
"ALTxRegionSouthAmer","ALT","RegionSouthAmer",0.6372,794.166666666667
"ALTxRegionWestEuro","ALT","RegionWestEuro",0.6398,1465.33333333333
"ASTxTARGET","AST","TARGET",3e-04,3289.66666666667
"ASTxLYMPH_NODES","AST","LYMPH_NODES",0.0361,2922
"ASTxKIDNEYS","AST","KIDNEYS",0.5784,805.5
"ASTxLUNGS","AST","LUNGS",0.2295,1503.33333333333
"ASTxLIVER","AST","LIVER",1e-04,3254.33333333333
"ASTxPLEURA","AST","PLEURA",0.2064,2099
"ASTxOTHER","AST","OTHER",0.6977,761.833333333333
"ASTxPROSTATE","AST","PROSTATE",0.6996,518.166666666667
"ASTxORCHIDECTOMY","AST","ORCHIDECTOMY",0.5142,605.5
"ASTxPROSTATECTOMY","AST","PROSTATECTOMY",0.6985,1611.66666666667
"ASTxLYMPHADENECTOMY","AST","LYMPHADENECTOMY",0.6705,1027.5
"ASTxBILATERAL_ORCHIDECTOMY","AST","BILATERAL_ORCHIDECTOMY",0.4219,1296.66666666667
"ASTxPRIOR_RADIOTHERAPY","AST","PRIOR_RADIOTHERAPY",0.4043,2116.66666666667
"ASTxANALGESICS","AST","ANALGESICS",1e-04,2420
"ASTxANTI_ANDROGENS","AST","ANTI_ANDROGENS",0.1232,2544.66666666667
"ASTxGLUCOCORTICOID","AST","GLUCOCORTICOID",0.7529,703.166666666667
"ASTxGONADOTROPIN","AST","GONADOTROPIN",0.6281,1059.83333333333
"ASTxBISPHOSPHONATE","AST","BISPHOSPHONATE",0.6766,1106.16666666667
"ASTxCORTICOSTEROID","AST","CORTICOSTEROID",0.3851,2279.33333333333
"ASTxIMIDAZOLE","AST","IMIDAZOLE",0.5858,1228.83333333333
"ASTxACE_INHIBITORS","AST","ACE_INHIBITORS",0.3878,1092.16666666667
"ASTxBETA_BLOCKING","AST","BETA_BLOCKING",0.7205,1153.33333333333
"ASTxHMG_COA_REDUCT","AST","HMG_COA_REDUCT",0.7265,1691
"ASTxESTROGENS","AST","ESTROGENS",0.5503,2378.66666666667
"ASTxANTI_ESTROGENS","AST","ANTI_ESTROGENS",0.4863,1930.33333333333
"ASTxCEREBACC","AST","CEREBACC",0.6765,1337.66666666667
"ASTxCHF","AST","CHF",0.3905,2549.66666666667
"ASTxDVT","AST","DVT",0.7733,1611.16666666667
"ASTxDIAB","AST","DIAB",0.4264,2164.33333333333
"ASTxMI","AST","MI",0.0543,2550
"ASTxPULMEMB","AST","PULMEMB",0.2159,1666.83333333333
"ASTxSPINCOMP","AST","SPINCOMP",0.5532,1557
"ASTxCOPD","AST","COPD",0.6417,1782
"ASTxMHBLOOD","AST","MHBLOOD",0.6413,1034.33333333333
"ASTxMHCARD","AST","MHCARD",0.0666,2983.33333333333
"ASTxMHCONGEN","AST","MHCONGEN",0.5487,1287
"ASTxMHEAR","AST","MHEAR",0.6766,1601.33333333333
"ASTxMHENDO","AST","MHENDO",0.4876,2351.66666666667
"ASTxMHGASTRO","AST","MHGASTRO",0.57,1643
"ASTxMHHEPATO","AST","MHHEPATO",0.7264,977
"ASTxMHIMMUNE","AST","MHIMMUNE",0.8527,2029
"ASTxMHINFECT","AST","MHINFECT",0.5248,1655.16666666667
"ASTxMHINJURY","AST","MHINJURY",0.7245,915.666666666667
"ASTxMHINVEST","AST","MHINVEST",0.7227,1277.5
"ASTxMHMETAB","AST","MHMETAB",0.3932,1557.83333333333
"ASTxMHPSYCH","AST","MHPSYCH",0.0792,2166.66666666667
"ASTxMHRENAL","AST","MHRENAL",0.5337,770.5
"ASTxMHRESP","AST","MHRESP",0.3912,1475.66666666667
"ASTxMHSKIN","AST","MHSKIN",0.7245,513.833333333333
"ASTxMHVASC","AST","MHVASC",0.4803,1422.16666666667
"ASTxECOG_C","AST","ECOG_C",0,3031
"ASTxRaceAsian","AST","RaceAsian",0.5906,869.5
"ASTxRaceBlack","AST","RaceBlack",0.7246,1022.5
"ASTxRaceOther","AST","RaceOther",0.4752,1709.66666666667
"ASTxRaceWhite","AST","RaceWhite",0.0229,2176.66666666667
"ASTxRegionAsia","AST","RegionAsia",1,445.166666666667
"ASTxRegionEastEuro","AST","RegionEastEuro",0.0217,2688.33333333333
"ASTxRegionNorthAmer","AST","RegionNorthAmer",0.5779,1917.66666666667
"ASTxRegionSouthAmer","AST","RegionSouthAmer",0.6344,1424.33333333333
"ASTxRegionWestEuro","AST","RegionWestEuro",0.7364,1022.66666666667
"CAxTARGET","CA","TARGET",0.0167,3002
"CAxLYMPH_NODES","CA","LYMPH_NODES",0.2442,1888
"CAxKIDNEYS","CA","KIDNEYS",0.5826,1305
"CAxLUNGS","CA","LUNGS",0.3829,1472.83333333333
"CAxLIVER","CA","LIVER",3e-04,3196.33333333333
"CAxPLEURA","CA","PLEURA",0.2915,1148.83333333333
"CAxOTHER","CA","OTHER",0.7072,749.833333333333
"CAxPROSTATE","CA","PROSTATE",0.6612,1651.66666666667
"CAxORCHIDECTOMY","CA","ORCHIDECTOMY",0.6617,1336.5
"CAxPROSTATECTOMY","CA","PROSTATECTOMY",0.5026,1846.33333333333
"CAxLYMPHADENECTOMY","CA","LYMPHADENECTOMY",0.5942,971.666666666667
"CAxBILATERAL_ORCHIDECTOMY","CA","BILATERAL_ORCHIDECTOMY",0.5846,924.5
"CAxPRIOR_RADIOTHERAPY","CA","PRIOR_RADIOTHERAPY",0.7096,1080.5
"CAxANALGESICS","CA","ANALGESICS",4e-04,2379.66666666667
